Name,Column 16,Latitude,Longitude,Status,IUC,Race,State,Denomination,Expenditure,LT_Invest,Faculty_FT,Faculty_FTE,Enrollment_HC,Enrollment_FTE,MDiv Tuitition
Covenant Theological Seminary,"38.64373583116748, -90.45217051835155",38.64373583,-90.45217052,ACCRED,I,W,MO,Presbyterian Church in America,"11,984",52.8,17,29,550,290,"15,717"
Knox College,"40.941691067046285, -90.37193778386998",40.94169107,-90.37193778,ACCRED,I,A,ON,Presbyterian Church in Canada,"4,740",54.4,7,9,92,79,"8,464"
Montreal School of Theology,"45.50626351827597, -73.57555490085834",45.50626352,-73.5755549,ACCRED,I,N,QC,Presbyterian Church in Canada,266,0,6,6,46,32,"5,200"
Memphis Theological Seminary,"35.13302795313773, -89.98269584732506",35.13302795,-89.98269585,ACCRED,I,B,TN,Cumberland Presbyterian Church,"3,750",15.3,4,8,171,106,"11,690"
Grace Mission University Graduate School,"33.86925718150196, -117.95727438970043",33.86925718,-117.9572744,ACCRED,U,A,CA,Presbyterian Church International,"1,570",0,0,1,282,227,"4,920"
Western Theological Seminary,"42.78611437115649, -86.1036215237247",42.78611437,-86.10362152,ACCRED,I,W,MI,Reformed Church in America,"10,863",47.9,16,18,397,238,"17,020"
New Brunswick Theological Seminary,"40.50163034381133, -74.44945288758856",40.50163034,-74.44945289,ACCRED,I,M,NJ,Reformed Church in America,"5,000",15.4,7,11,130,71,"17,500"
Reformed Presbyterian Theological Seminary,"40.44739054210612, -79.89781106245499",40.44739054,-79.89781106,ACCRED,I,W,PA,Reformed Presbyterian,"2,327",5.8,4,5,91,74,"13,989"
Gateway Seminary,"34.06469147860299, -117.58136347705947",34.06469148,-117.5813635,ACCRED,I,M,CA,Southern Baptist Convention,"14,702",63,18,40,"1,464",742,"9,910"
Midwestern Baptist Theological Seminary,"39.18502065736056, -94.57448484847147",39.18502066,-94.57448485,ACCRED,I,W,MO,Southern Baptist Convention,"27,929",38.3,31,32,"2,909","1,554","8,400"
New Orleans Baptist Theological Seminary,"30.00413447662663, -90.04146382661301",30.00413448,-90.04146383,ACCRED,I,W,LA,Southern Baptist Convention,"40,611",76.9,30,52,"1,460",894,"8,788"
Southeastern Baptist Theological Seminary,"35.98071965442472, -78.51238028777149",35.98071965,-78.51238029,ACCRED,I,W,NC,Southern Baptist Convention,"40,157",50.5,28,36,"2,263","1,164","9,858"
Southern Baptist Theological Seminary,"38.24826807186994, -85.68595543001062",38.24826807,-85.68595543,ACCRED,I,W,KY,Southern Baptist Convention,"50,351",113.1,47,58,"3,371","1,813","9,430"
Southwestern Baptist Theological Seminary,"32.681752431520394, -97.34799404186472",32.68175243,-97.34799404,ACCRED,I,N,TX,Southern Baptist Convention,"41,054",158.8,42,62,"2,278","1,005","11,220"
Clamp Divinity School at Anderson University,"34.51413303257175, -82.63809357433396",34.51413303,-82.63809357,ASSOC,U,,SC,South Carolina Baptist Convention,860,0,3,6,123,95,"8,000"
Western Seminary,"45.511991742728554, -122.60569797572221",45.51199174,-122.605698,ACCRED,I,W,OR,Venture Church Network,"10,460",2.9,16,34,756,306,"11,714"
Wesley Seminary,"40.51659345925351, -85.66938947518446",40.51659346,-85.66938948,ACCRED,U,W,IN,Wesleyan Church,"4,004",9.1,4,23,455,326,"8,314"
Azusa Pacific Seminary,"34.130013306351195, -117.888348574348",34.13001331,-117.8883486,ACCRED,U,H,CA,Wesleyan Church,"1,200",0,4,10,134,93,"14,160"
